id,title,englishTitle,score
49409,"Bai She II: Qing She Jie Qi","White Snake 2: The Tribulation of the Green Snake",7.38
49410,"Shiroi Suna no Aquatope Mini","null",5.77
49592,"Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama","null",5.98
49396,"Kyoto Animation: Souzou-hen","null",6.57
40885,"Can Ci Pin: Fangzhu Xingkong","The Defective",6.75
49392,"Ore, Tsushima (ONA)","I, Tsushima",6.35
48892,"Yoshimaho","Yoshi Yoshi Magic",5.49
44065,"Dinghai Fusheng Lu","Dinghai Fusheng Records",6.84
49982,"Geu Yeoreum","The Summer",null
48177,"Ichiban Chikakute Tooi Hoshi","The Nearest Distant Star",6.29
49386,"Xingchen Bian: Xingchen Yao Hai","null",7.19
43506,"Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix♥","null",5.48
49448,"Ni Tian Zhizun","Against The Sky Supreme",6.91
49948,"Kono Kaisha... Nanika Okashii!","null",5.54
44071,"Yuan Long 2nd Season","Carp Reborn 2nd Season",6.95
49467,"Tomorrow's Leaves","Tomorrow's Leaves",6.63
44616,"Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen","Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy",7.3
49861,"Unison","null",7.26
49395,"Kyoto Animation: Meiji-hen","null",6.41
49838,"Yuuseiboushi","Living Idly and Dying as if Dreaming",7.67
43204,"Gundam: G no Reconguista Movie III - Uchuu kara no Isan","Gundam Reconguista in G III: Legacy from Space",6.93
48875,"Dahuoji Yu Gongzhu Qun","Lighter & Skirt",6.16
48976,"100-man no Inochi no Ue ni Ore wa Tatteiru Recap","null",6.21
49208,"Heibai Wushuang 3rd Season","Black and White Warriors 3",5.99
49633,"Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo Mini Anime","Fate/kaleid liner Prisma Illya: Licht Nameless Girl Mini Anime",5.1
50046,"Yami Shibai: Furuido","Theatre of Darkness: Yamishibai - The Old Well",5.57
49873,"Jiu Tian Xuan Di Jue","null",6.67
49952,"Wo Qi Ku Le Baiwan Xiulian Zhe","null",6.08
49913,"Hachigatsu no Cinderella Nine: Tsuzuku, Monogatari","Cinderella Nine: The Story Continues",6.35
49275,"Renou Xueyuan","Elf Academy",7.14
44376,"Idol Land PriPara","null",7.38
50206,"Takano Kousaten","Takano Intersection",6.72
49348,"Blue Reflection Ray Special","null",5.61
40732,"Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 1","null",6.91
49880,"KU-RU-KU-RU Cruller!","null",7.37
51077,"Kaisou Ressha","null",6.9
49398,"Wu Geng Ji 4th Season","null",6.76
49708,"Shaman King (2021): Funbari Onsen Hanjouki","null",5.49
50202,"Shiguang Dailiren x Wanglaoji: Guanjian Shike Hai de Kan Guang Lu a!","Link Click x Wanglaoji",6
49718,"Huyao Xiao Hongniang: Yue Hong 2","null",6.51
44411,"Shi Ye Miao Yin","null",6.02
50048,"Shimi","null",6.52
49964,"Gunjou Sanka","null",7.06
48352,"100-nichikan Ikita Wani","null",null
49146,"Tobidase! Narase! Pui Pui Molcar","null",6.38
49418,"Caesura of Despair","null",6.64
50029,"Careless","null",6.17
50036,"Howling","null",6.52
49495,"Etotama: Nyankyaku Banrai - Etotama Pretty Gekijou","null",5.88
49830,"Taishou Roman","null",6.81
49321,"Pokemon (2019): Natsuyasumi Chokuzen 1-jikan Special","null",5.8
49751,"Love Letter (Music)","null",6.83
49420,"Sangenshoku","null",6.98
49988,"Liella no Uta","null",6.52
51444,"Kakero","null",6.59
51427,"Po","null",5.71
50059,"Tatehoko Tsubasa","null",6.13
50041,"Uchuu no Kisetsu","null",6.53
49841,"Chunqiu Feng Shen","null",6.36
44075,"Sou Xuan Lu Zhi Chen Ling Ji","The Gerent Saga",null
50258,"Tesla Note: Mickey to Oliver no Agent Yousei Kouza","null",5.35
